Account Name,Billing Address Line 1,Billing Zip/Postal Code,SIC Industry,SIC Code: SIC Code
MONTREAL CHROME,PLACAGE AU CHROME DE MTL INC 6850 PLACE PASCAL GAGNON,H1P1A1,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
CRAIG INTERNATIONAL,SUPPLIES CANADA LTD * 10605 HENRI BOURASSA EST,H1C1G7,PETRO CHEMICALS (2800 SERIES),IPC
AURELIAN ECUADOR S.A.,,,MINING AND SMELTING (1001-1499 SERIES),IMS
DIMCO OUTIL INC,2651 BOUL PITFIELD,H4S1T2,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
TASIAST MAURITANIE LTD S.A.,,,MINING AND SMELTING (1001-1499 SERIES),IMS
FESTO INC,201-8455 RTE TRANSCANADIENNE,H4S1Z1,OEM-AUTO (3400-3500 SERIES),IOMA
CINTUBE LTEE,* 333 BOUL SAINT-JOSEPH,H8S2K9,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
PORTES GENSTEEL INC,4950 HICKMORE,H4T1K6,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
INTERTRONIC SOLUTIONS INC,1701 RUE CHICOINE,J7V8P2,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
STOCKAGE D ENERGIE HQ INC,1804 BOUL LIONEL BOULET,J3X1S1,UTILITIES (4811 & 491 SERIES),MUT
AERO MAG 2000 (YUL) INC,8181 RUE HERVE ST MARTIN,H4S2A5,PETRO CHEMICALS (2800 SERIES),IPC
CYMI CANADA INC,200-1920 YONG ST,M4S3E2,ELECTRICAL ENGINEERS,IEE
BROOKFIELD GIS CANADA,*****CASH ONLY****** 4175 14TH AVENUE,L3R0J2,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
MUELLER LTEE,230 CASTONGUAY,J7Y2J7,MINING AND SMELTING (1001-1499 SERIES),IMS
SGL CANADA INC,963 CH BERTHANIE CP 490,J8H3Y1,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
SCANDELLA ELECTRIC,16520 VICTOR,J7J1P3,SMALL CONTRACTOR (1733 SERIES),CSC
INSTALLATION ELECTRIQUE EXPERT,132618 CANADA INC 1433 RUE W.-JOUBERT,J6W3M1,SMALL CONTRACTOR (1733 SERIES),CSC
DURO VOLT INC,1091 RUE D'OSAKA,H7P3T5,SMALL CONTRACTOR (1733 SERIES),CSC
